InvoiceNo,Quantity,InvoiceDate,CustomerID,Country,StockCode,Description,UnitPrice
540915,9,2011-01-10T23:31,18923,Italy,46129A,CREAM CUPID HEARTS COAT HANGER,12.27
540920,12,2010-12-23T05:06,15612,Italy,78978B,PLASTIC BOTTLE,21.68
540922,2,2010-12-25T11:50,11172,Italy,82364S,WHITE HANGING HEART T-LIGHT HOLDER,9.05
540923,13,2010-12-18T10:01,10134,Italy,29553E,WHITE METAL LANTERN,24.11
540923,3,2011-01-18T13:24,12097,Italy,95432W,WHITE HANGING HEART T-LIGHT HOLDER,11.68
540925,10,2010-12-16T06:56,11803,Italy,86554J,WOODEN TRAY,22.00
540928,15,2010-12-03T14:30,16886,Italy,79097M,PLASTIC BOTTLE,0.70
540928,13,2011-01-02T23:21,11858,Italy,99108X,CREAM CUPID HEARTS COAT HANGER,23.91
540929,11,2010-12-07T09:26,17965,Italy,98995Q,WHITE METAL LANTERN,14.15
540931,20,2011-01-17T18:41,18857,Italy,44896Q,WOODEN TRAY,1.24
540938,12,2011-01-20T16:44,14188,Italy,63032J,PLASTIC BOTTLE,3.44
540939,6,2010-12-06T06:25,13063,Italy,99041E,WHITE HANGING HEART T-LIGHT HOLDER,24.11
540940,14,2011-02-05T19:17,18457,Italy,17062P,WOODEN TRAY,17.63
540941,8,2011-01-01T11:20,16796,Italy,38492B,FRUIT & VEG STORAGE BASKET,15.48
540942,14,2010-12-04T19:33,19148,Italy,55152X,FRUIT & VEG STORAGE BASKET,1.63
540943,5,2011-01-26T06:02,10366,Italy,29513E,FOOD STORAGE CONTAINER,19.04
540944,2,2011-01-28T03:12,12083,Italy,73280C,CREAM CUPID HEARTS COAT HANGER,23.63
540946,7,2010-12-26T01:49,12689,Italy,37026T,WOODEN TRAY,16.81
540948,1,2011-01-30T19:54,17975,Italy,80761T,WHITE HANGING HEART T-LIGHT HOLDER,18.54
540949,6,2010-12-26T08:21,12030,Italy,37202Z,WHITE METAL LANTERN,12.93
540951,20,2011-01-17T07:30,17136,Italy,57841D,GLASS JAR,12.66
540952,11,2010-12-10T03:12,14320,Italy,19983E,CREAM CUPID HEARTS COAT HANGER,13.84
540952,1,2011-01-31T12:51,15771,Italy,28289Y,FRUIT & VEG STORAGE BASKET,12.71
540957,17,2010-12-11T05:23,10768,Italy,66551Q,WHITE METAL LANTERN,3.70
540958,1,2011-01-16T01:17,11685,Italy,99095W,FRUIT & VEG STORAGE BASKET,18.17
540959,1,2010-12-30T19:43,10169,Italy,75152I,CREAM CUPID HEARTS COAT HANGER,19.48
540961,18,2011-02-08T15:13,16544,Italy,73951K,CREAM CUPID HEARTS COAT HANGER,20.40
540961,13,2011-01-16T10:32,17513,Italy,54690N,FOOD STORAGE CONTAINER,5.55
540962,3,2011-01-31T00:31,10428,Italy,72186J,PLASTIC BOTTLE,8.23
540962,3,2011-02-07T15:22,10735,Italy,16522I,FOOD STORAGE CONTAINER,13.80
540962,18,2011-01-09T17:50,12182,Italy,59118N,FOOD STORAGE CONTAINER,16.94
540963,4,2011-01-18T05:19,16315,Italy,19953L,WHITE METAL LANTERN,12.28
540971,10,2010-12-20T10:48,14837,Italy,54723K,CREAM CUPID HEARTS COAT HANGER,2.48
540972,1,2011-02-04T12:54,15379,Italy,95206H,GLASS JAR,1.57
540973,4,2010-12-05T14:27,10166,Italy,10987F,FRUIT & VEG STORAGE BASKET,4.09
540976,7,2011-01-29T10:08,13168,Italy,39587P,FOOD STORAGE CONTAINER,6.62
540979,4,2011-01-30T09:05,19933,Italy,45791D,GLASS JAR,22.62
540979,7,2011-01-18T12:13,15733,Italy,59332W,GLASS JAR,19.45
540982,3,2011-01-05T20:35,19252,Italy,46483U,WHITE METAL LANTERN,19.80
540982,16,2011-01-17T21:47,14188,Italy,18163Z,FOOD STORAGE CONTAINER,8.16
540984,18,2011-01-08T18:03,13842,Italy,63285P,FRUIT & VEG STORAGE BASKET,20.08
540984,10,2010-12-27T08:04,17007,Italy,38115C,CREAM CUPID HEARTS COAT HANGER,17.00
540985,18,2011-02-01T13:48,18259,Italy,39107X,CREAM CUPID HEARTS COAT HANGER,19.01
540986,18,2010-12-26T11:01,19148,Italy,50711X,PLASTIC BOTTLE,0.73
540988,19,2011-02-01T23:29,11283,Italy,31421V,FOOD STORAGE CONTAINER,7.45
540992,18,2011-01-13T20:14,16793,Italy,39849E,WHITE METAL LANTERN,1.26
540994,18,2011-01-17T08:26,12078,Italy,56937A,WHITE METAL LANTERN,1.61
540994,1,2010-12-30T05:57,14977,Italy,60373W,FRUIT & VEG STORAGE BASKET,20.99
540995,13,2011-01-30T17:10,17458,Italy,34413C,WHITE HANGING HEART T-LIGHT HOLDER,22.47
540997,4,2011-01-24T07:14,10067,Italy,70132M,GLASS JAR,12.98
540999,6,2010-12-23T12:26,19817,Italy,11073G,WHITE METAL LANTERN,1.11
541000,14,2011-01-16T19:47,11665,Italy,42579Y,WOODEN TRAY,21.89
541003,8,2011-01-14T05:34,12285,Italy,76135Y,FRUIT & VEG STORAGE BASKET,20.42
541004,20,2010-12-20T15:49,16153,Italy,43985Z,WOODEN TRAY,16.07
541006,15,2011-01-12T04:01,15962,Italy,40163V,FOOD STORAGE CONTAINER,18.56
541012,6,2011-02-08T15:57,19862,Italy,53896Z,WOODEN TRAY,23.24
541015,6,2011-02-05T15:50,17676,Italy,56664R,CREAM CUPID HEARTS COAT HANGER,14.17
541016,5,2010-12-25T20:26,11305,Italy,91556Q,WHITE HANGING HEART T-LIGHT HOLDER,13.79
541018,9,2010-12-25T08:24,19555,Italy,79669F,GLASS JAR,6.49
541020,8,2011-01-23T21:38,17411,Italy,59845J,GLASS JAR,7.65
541021,7,2010-12-12T01:19,15994,Italy,75446A,CREAM CUPID HEARTS COAT HANGER,6.08
541022,13,2011-01-30T18:45,11865,Italy,79955H,PLASTIC BOTTLE,22.70
541023,19,2011-01-02T10:47,15039,Italy,72744J,FRUIT & VEG STORAGE BASKET,5.30
541025,10,2011-01-17T07:46,10426,Italy,75088C,WHITE HANGING HEART T-LIGHT HOLDER,17.06
541029,4,2011-01-10T12:35,10082,Italy,28709Y,GLASS JAR,6.83
541030,11,2011-01-07T14:54,18227,Italy,78052S,WHITE METAL LANTERN,7.93
541033,6,2010-12-26T18:36,11423,Italy,69321T,WHITE METAL LANTERN,23.22
541035,2,2010-12-27T04:11,19049,Italy,37256O,GLASS JAR,17.50
541038,8,2011-01-09T09:40,19475,Italy,23678Q,WOODEN TRAY,23.83
541040,15,2010-12-13T17:10,13891,Italy,85945A,CREAM CUPID HEARTS COAT HANGER,14.80
541041,6,2010-12-29T13:28,11198,Italy,58664L,WHITE METAL LANTERN,7.08
541042,9,2010-12-08T03:48,18341,Italy,55791N,GLASS JAR,24.84
541043,10,2010-12-23T10:43,16267,Italy,40647A,WOODEN TRAY,22.80
541045,16,2010-12-23T16:38,13520,Italy,11254J,WHITE METAL LANTERN,12.18
541047,5,2010-12-20T09:49,14310,Italy,35127J,FOOD STORAGE CONTAINER,7.20
541048,15,2011-02-04T00:02,10018,Italy,57304U,WOODEN TRAY,7.79
541049,19,2010-12-22T20:44,17304,Italy,81329X,PLASTIC BOTTLE,16.96
541050,2,2010-12-20T03:08,10340,Italy,13623F,FRUIT & VEG STORAGE BASKET,3.51
541051,19,2011-02-01T05:39,12519,Italy,53753I,FOOD STORAGE CONTAINER,14.50
541052,16,2010-12-24T01:52,11969,Italy,91497H,WHITE HANGING HEART T-LIGHT HOLDER,16.56
541053,5,2010-12-07T03:12,18856,Italy,21575L,WHITE HANGING HEART T-LIGHT HOLDER,10.73
541058,17,2011-01-20T09:40,11185,Italy,61058F,CREAM CUPID HEARTS COAT HANGER,14.71
541062,6,2011-01-09T02:21,14919,Italy,13744G,WHITE HANGING HEART T-LIGHT HOLDER,3.98
541063,13,2010-12-31T00:21,13788,Italy,19794Q,CREAM CUPID HEARTS COAT HANGER,23.55
541065,14,2010-12-18T16:27,10819,Italy,49878Y,FOOD STORAGE CONTAINER,17.99
541067,3,2010-12-17T21:15,10695,Italy,87452Z,WOODEN TRAY,2.85
541068,11,2011-01-12T10:22,17975,Italy,28159F,GLASS JAR,4.96
541069,13,2011-01-09T14:06,19851,Italy,23083M,WHITE HANGING HEART T-LIGHT HOLDER,8.93
541076,14,2011-02-08T08:12,11249,Italy,37907R,FRUIT & VEG STORAGE BASKET,0.91
541077,20,2011-01-18T18:25,18313,Italy,79862Q,PLASTIC BOTTLE,0.86
541080,16,2011-02-01T17:07,11767,Italy,52791I,FRUIT & VEG STORAGE BASKET,5.43
541081,7,2010-12-02T12:50,16857,Italy,27797Z,WHITE METAL LANTERN,19.89
541082,5,2011-02-06T06:09,10204,Italy,35259M,WOODEN TRAY,18.96
541082,5,2011-02-06T23:01,18772,Italy,76096T,WHITE HANGING HEART T-LIGHT HOLDER,10.14
541083,8,2010-12-12T20:31,14788,Italy,32518K,WOODEN TRAY,11.53
541085,5,2010-12-22T08:30,19031,Italy,92349T,PLASTIC BOTTLE,6.32
541088,9,2011-01-29T08:22,14087,Italy,62583E,FRUIT & VEG STORAGE BASKET,14.33
541089,6,2011-01-27T12:44,11959,Italy,68987E,FRUIT & VEG STORAGE BASKET,14.50
541090,6,2010-12-08T05:13,12923,Italy,81316C,WHITE METAL LANTERN,14.15
541090,3,2011-01-24T08:06,17040,Italy,15754I,GLASS JAR,8.63
541094,18,2010-12-24T05:28,17781,Italy,24651O,GLASS JAR,20.46
541095,12,2011-01-25T14:09,12083,Italy,22349O,FOOD STORAGE CONTAINER,2.24
541096,9,2011-01-18T21:28,15435,Italy,10788W,FRUIT & VEG STORAGE BASKET,19.47
541097,20,2011-02-04T06:21,15809,Italy,66533K,WHITE METAL LANTERN,23.12
541097,17,2011-01-14T08:59,16333,Italy,80909D,FOOD STORAGE CONTAINER,3.35
541097,12,2011-02-02T07:31,12127,Italy,54042B,WHITE HANGING HEART T-LIGHT HOLDER,22.55
541100,6,2011-01-08T02:29,15814,Italy,33623S,WHITE METAL LANTERN,7.82
541100,1,2010-12-31T22:47,13257,Italy,76836R,CREAM CUPID HEARTS COAT HANGER,11.55
541104,15,2010-12-18T14:25,18374,Italy,96049L,GLASS JAR,16.66
541104,19,2010-12-16T19:49,18122,Italy,51507X,WOODEN TRAY,14.09
541105,5,2010-12-30T04:38,13318,Italy,16414Z,FRUIT & VEG STORAGE BASKET,9.01
541107,18,2011-01-04T15:32,13870,Italy,79844K,WHITE HANGING HEART T-LIGHT HOLDER,9.36
541107,11,2011-01-09T11:53,17163,Italy,97416U,FRUIT & VEG STORAGE BASKET,8.43
541107,17,2011-02-03T22:34,18708,Italy,86859O,CREAM CUPID HEARTS COAT HANGER,7.05
541109,18,2010-12-11T18:00,13985,Italy,52545N,WHITE HANGING HEART T-LIGHT HOLDER,23.16
541112,19,2011-01-31T14:01,14480,Italy,35673X,GLASS JAR,9.34
541114,8,2010-12-25T03:25,16050,Italy,73341D,PLASTIC BOTTLE,9.31
541115,11,2011-01-01T19:48,18673,Italy,72912B,CREAM CUPID HEARTS COAT HANGER,17.57
541116,17,2011-02-02T12:04,16064,Italy,77356D,GLASS JAR,15.07
541118,5,2010-12-29T08:54,14874,Italy,80375M,CREAM CUPID HEARTS COAT HANGER,3.13
541118,7,2011-01-09T03:29,13020,Italy,46244M,WHITE METAL LANTERN,14.80
541119,10,2010-12-12T16:52,18128,Italy,74249F,PLASTIC BOTTLE,1.55
541120,6,2010-12-22T02:42,17771,Italy,15767C,WHITE METAL LANTERN,16.70
541120,17,2011-01-08T17:28,18223,Italy,93183E,WHITE METAL LANTERN,12.58
541121,14,2010-12-09T19:23,15220,Italy,49231W,WHITE HANGING HEART T-LIGHT HOLDER,14.27
541121,17,2010-12-09T18:26,10606,Italy,69392M,FOOD STORAGE CONTAINER,22.12
541126,11,2011-01-04T22:37,11324,Italy,32057T,WHITE METAL LANTERN,2.92
541127,18,2011-01-12T15:50,19265,Italy,14301U,FOOD STORAGE CONTAINER,4.77
541128,1,2011-01-05T21:40,15916,Italy,75820C,WHITE HANGING HEART T-LIGHT HOLDER,23.37
541128,2,2010-12-07T13:26,10287,Italy,98652S,WHITE METAL LANTERN,1.98
541128,8,2010-12-10T16:22,19337,Italy,48890J,FOOD STORAGE CONTAINER,11.16
541130,17,2010-12-07T14:12,10398,Italy,36795A,WOODEN TRAY,4.82
541136,18,2010-12-04T18:42,11097,Italy,92325J,WHITE METAL LANTERN,24.96
541136,2,2010-12-22T10:48,19972,Italy,19900W,PLASTIC BOTTLE,23.96
541138,13,2010-12-07T14:13,11255,Italy,76941F,PLASTIC BOTTLE,22.30
541138,2,2011-01-17T00:03,19989,Italy,21425D,FRUIT & VEG STORAGE BASKET,7.21
541138,1,2011-01-19T18:31,11839,Italy,47683Q,FOOD STORAGE CONTAINER,6.39
541141,3,2011-02-07T23:46,11864,Italy,51949U,CREAM CUPID HEARTS COAT HANGER,11.29
541141,13,2011-01-27T08:56,17587,Italy,20294E,FRUIT & VEG STORAGE BASKET,8.37
541142,9,2011-02-08T03:24,15549,Italy,91592X,CREAM CUPID HEARTS COAT HANGER,19.35
541147,15,2011-01-29T13:09,11229,Italy,97755W,FOOD STORAGE CONTAINER,21.96
541150,2,2010-12-29T07:43,15476,Italy,51575U,WOODEN TRAY,7.61
541153,19,2011-01-22T09:44,10366,Italy,55540L,GLASS JAR,5.69
541155,11,2011-02-06T02:43,10602,Italy,20895H,PLASTIC BOTTLE,4.04
541158,18,2010-12-14T22:15,12207,Italy,38524W,WHITE HANGING HEART T-LIGHT HOLDER,19.12
541159,18,2010-12-05T01:37,11545,Italy,93664L,WHITE METAL LANTERN,10.46
541160,16,2011-01-20T05:15,19823,Italy,68912W,WOODEN TRAY,4.99
541160,11,2010-12-20T21:32,10687,Italy,35233K,FOOD STORAGE CONTAINER,20.04
541161,3,2011-01-31T11:48,15721,Italy,33932D,WHITE HANGING HEART T-LIGHT HOLDER,23.72
541161,19,2011-01-21T01:12,16085,Italy,87961P,FRUIT & VEG STORAGE BASKET,22.84
541164,12,2011-01-12T23:14,17654,Italy,41315J,GLASS JAR,3.13
541165,4,2010-12-12T03:48,15180,Italy,24781S,FRUIT & VEG STORAGE BASKET,0.95
541168,12,2011-01-27T18:12,13502,Italy,19326R,FRUIT & VEG STORAGE BASKET,16.03
541169,12,2010-12-07T06:02,17266,Italy,88659T,WHITE METAL LANTERN,7.47
541170,15,2011-02-06T21:43,18013,Italy,72712H,FRUIT & VEG STORAGE BASKET,7.66
541170,10,2010-12-28T19:59,13447,Italy,23661C,FOOD STORAGE CONTAINER,11.17
541171,4,2011-01-18T17:38,14417,Italy,84705C,WHITE METAL LANTERN,2.80
541171,20,2010-12-08T08:01,15815,Italy,16126H,CREAM CUPID HEARTS COAT HANGER,22.84
541171,5,2010-12-19T01:33,11714,Italy,16346H,FRUIT & VEG STORAGE BASKET,7.41
541171,14,2011-02-03T01:26,17767,Italy,46954O,GLASS JAR,21.59
541172,16,2010-12-06T05:19,11229,Italy,59770X,WHITE METAL LANTERN,7.56
541172,17,2011-01-15T04:28,19109,Italy,77216O,WOODEN TRAY,9.17
541174,14,2011-01-02T20:41,18421,Italy,57369A,CREAM CUPID HEARTS COAT HANGER,1.75
541175,14,2010-12-29T14:03,18840,Italy,76889W,GLASS JAR,22.00
541176,12,2011-01-12T08:55,15721,Italy,90343G,PLASTIC BOTTLE,4.17
541178,10,2010-12-22T20:10,11545,Italy,50572Z,WHITE METAL LANTERN,15.12
541179,3,2011-01-14T04:29,14900,Italy,24559A,WHITE METAL LANTERN,21.06
541179,7,2011-01-14T18:30,18234,Italy,19138H,WHITE METAL LANTERN,22.30
541180,6,2010-12-31T20:13,16130,Italy,36585P,PLASTIC BOTTLE,14.61
541180,5,2011-02-06T09:02,10637,Italy,95765S,FRUIT & VEG STORAGE BASKET,3.41
541183,10,2011-02-02T20:30,15613,Italy,79394I,GLASS JAR,2.01
541187,15,2011-01-11T23:29,16521,Italy,65624X,FRUIT & VEG STORAGE BASKET,1.59
541189,2,2010-12-10T01:19,16964,Italy,77002W,GLASS JAR,5.61
541190,5,2011-01-30T20:41,10610,Italy,41381J,WOODEN TRAY,3.80
541191,14,2011-01-12T21:10,12285,Italy,35414B,WOODEN TRAY,9.64
541192,9,2010-12-26T10:32,12921,Italy,78598Q,WOODEN TRAY,19.60
541192,15,2010-12-04T05:28,12337,Italy,25660Z,PLASTIC BOTTLE,7.32
541192,6,2010-12-10T12:04,11142,Italy,21605E,WHITE HANGING HEART T-LIGHT HOLDER,13.29
541193,20,2011-01-24T21:08,15100,Italy,97370F,FOOD STORAGE CONTAINER,24.38
541193,9,2011-01-16T18:09,13046,Italy,16826F,CREAM CUPID HEARTS COAT HANGER,18.52
541193,12,2010-12-08T05:05,14441,Italy,58313H,WOODEN TRAY,24.08
541194,19,2011-01-11T09:43,19490,Italy,11023F,WOODEN TRAY,21.69
541196,14,2011-01-02T20:07,17530,Italy,53697O,FRUIT & VEG STORAGE BASKET,14.74
541197,5,2011-01-23T19:48,10989,Italy,84288I,PLASTIC BOTTLE,20.72
541197,2,2010-12-27T19:05,13985,Italy,76235C,WHITE METAL LANTERN,0.91
541201,1,2011-02-07T00:27,19747,Italy,88596W,WOODEN TRAY,23.56
541205,6,2010-12-09T20:18,14166,Italy,44681D,FOOD STORAGE CONTAINER,13.94
541209,17,2011-01-14T19:21,15965,Italy,30960P,CREAM CUPID HEARTS COAT HANGER,8.98
541209,13,2011-01-08T23:03,14667,Italy,50460B,WHITE METAL LANTERN,20.45
541210,10,2011-01-11T21:50,16264,Italy,57397P,FRUIT & VEG STORAGE BASKET,5.66
541210,2,2010-12-19T22:47,16364,Italy,72654E,FOOD STORAGE CONTAINER,8.95
541212,12,2010-12-22T22:21,18802,Italy,80131A,WHITE METAL LANTERN,8.63
541212,14,2010-12-06T12:41,19937,Italy,69298L,PLASTIC BOTTLE,11.65
541213,9,2010-12-09T19:34,18573,Italy,27026A,WHITE HANGING HEART T-LIGHT HOLDER,23.77
541214,1,2010-12-17T11:24,12490,Italy,73908L,FRUIT & VEG STORAGE BASKET,23.77
541217,6,2011-01-03T10:01,17476,Italy,82519M,GLASS JAR,20.75
541219,1,2010-12-04T12:07,11328,Italy,41552H,WOODEN TRAY,21.43
541223,10,2010-12-16T18:42,13870,Italy,48958D,WHITE METAL LANTERN,14.21
541223,8,2011-02-08T02:58,12240,Italy,34607M,FRUIT & VEG STORAGE BASKET,11.15
541224,4,2011-01-21T14:45,15673,Italy,53775D,WHITE HANGING HEART T-LIGHT HOLDER,6.56
541225,15,2010-12-04T12:50,15076,Italy,76281K,FRUIT & VEG STORAGE BASKET,22.10
541226,5,2010-12-08T20:21,16576,Italy,55042P,PLASTIC BOTTLE,5.71
541226,9,2011-01-21T06:38,15202,Italy,44271K,WHITE HANGING HEART T-LIGHT HOLDER,19.11
541227,4,2011-01-18T00:51,16209,Italy,36094P,FRUIT & VEG STORAGE BASKET,14.98
541228,4,2010-12-24T12:21,14166,Italy,26752N,FOOD STORAGE CONTAINER,11.36
541228,19,2011-01-27T16:12,10925,Italy,59986W,FRUIT & VEG STORAGE BASKET,15.22
541229,16,2011-01-11T14:25,18669,Italy,75706N,WOODEN TRAY,7.74
541230,9,2011-01-19T00:49,15890,Italy,53777F,FOOD STORAGE CONTAINER,15.65
541231,17,2010-12-06T05:04,17767,Italy,74461F,PLASTIC BOTTLE,15.89
541232,7,2010-12-01T18:35,10472,Italy,30507E,CREAM CUPID HEARTS COAT HANGER,4.41
541232,6,2010-12-22T10:34,10466,Italy,37910B,PLASTIC BOTTLE,10.04
541236,8,2011-01-25T21:50,15471,Italy,51484D,WOODEN TRAY,13.58
541237,2,2010-12-11T03:22,11351,Italy,54444I,WHITE METAL LANTERN,11.99
541237,11,2011-01-05T21:30,11464,Italy,22299R,FRUIT & VEG STORAGE BASKET,23.13
541239,15,2011-01-17T22:13,10127,Italy,80626A,PLASTIC BOTTLE,11.09
541242,14,2010-12-10T11:08,14640,Italy,32618V,FOOD STORAGE CONTAINER,14.55
541244,1,2010-12-13T22:30,11703,Italy,97492Z,CREAM CUPID HEARTS COAT HANGER,19.54
541244,2,2010-12-02T00:07,14300,Italy,79489H,CREAM CUPID HEARTS COAT HANGER,1.44
541246,18,2011-02-03T19:22,14083,Italy,19680Z,FOOD STORAGE CONTAINER,17.47
541247,3,2010-12-31T12:49,16180,Italy,12641M,WHITE HANGING HEART T-LIGHT HOLDER,8.62
541254,7,2011-01-12T06:48,16923,Italy,79734L,WHITE HANGING HEART T-LIGHT HOLDER,18.34
541254,20,2011-01-12T02:15,16697,Italy,86926P,WHITE METAL LANTERN,15.36
541256,2,2011-01-02T08:59,17781,Italy,51389B,FOOD STORAGE CONTAINER,5.87
541256,8,2010-12-20T14:25,11858,Italy,99525R,WHITE HANGING HEART T-LIGHT HOLDER,15.84
541256,7,2010-12-01T20:54,13318,Italy,39050G,PLASTIC BOTTLE,15.09
541257,3,2011-01-16T14:01,13961,Italy,87894S,WHITE HANGING HEART T-LIGHT HOLDER,8.13
541258,9,2011-01-30T15:32,16053,Italy,95960K,WHITE METAL LANTERN,9.75
541259,9,2010-12-28T16:42,19676,Italy,55702N,GLASS JAR,9.18
541261,16,2011-01-14T02:13,12033,Italy,51168N,PLASTIC BOTTLE,10.19
541261,5,2010-12-17T07:56,10768,Italy,26394A,WOODEN TRAY,21.19
541263,13,2011-01-15T00:58,10000,Italy,69249B,CREAM CUPID HEARTS COAT HANGER,17.23
541266,7,2011-02-03T13:38,18292,Italy,21914Q,WOODEN TRAY,5.29
541270,19,2011-01-21T05:08,17245,Italy,84592W,WHITE HANGING HEART T-LIGHT HOLDER,9.36
541271,17,2010-12-28T08:20,15781,Italy,52167Z,PLASTIC BOTTLE,10.43
541273,9,2011-01-03T09:01,19266,Italy,24588A,FOOD STORAGE CONTAINER,3.20
541273,5,2010-12-14T17:16,18848,Italy,11170Y,PLASTIC BOTTLE,17.61
541274,18,2010-12-13T15:29,13391,Italy,25495Y,WHITE HANGING HEART T-LIGHT HOLDER,9.95
541275,15,2011-01-15T04:56,14909,Italy,40546F,CREAM CUPID HEARTS COAT HANGER,15.80
541278,19,2011-01-08T05:50,19885,Italy,97286V,FRUIT & VEG STORAGE BASKET,9.61
541281,19,2011-01-18T02:42,18268,Italy,89012Y,CREAM CUPID HEARTS COAT HANGER,24.69
541281,4,2011-01-22T00:32,17439,Italy,87764K,WHITE METAL LANTERN,17.17
541283,19,2010-12-14T05:58,19515,Italy,10166P,WHITE METAL LANTERN,15.77
541287,1,2010-12-17T08:52,16697,Italy,68667W,PLASTIC BOTTLE,7.21
541288,6,2010-12-13T04:31,17754,Italy,88677Z,PLASTIC BOTTLE,4.55
541290,10,2011-02-05T11:36,19948,Italy,20105O,PLASTIC BOTTLE,12.00
541291,1,2011-01-21T11:44,19706,Italy,35760K,FRUIT & VEG STORAGE BASKET,13.81
541295,11,2011-01-19T08:58,11743,Italy,94545V,GLASS JAR,9.87
541295,17,2011-01-04T08:39,13046,Italy,86704V,WHITE METAL LANTERN,15.53
541295,18,2011-01-28T22:01,17826,Italy,19489C,GLASS JAR,9.16
541296,18,2011-01-11T17:25,14622,Italy,40699N,WHITE HANGING HEART T-LIGHT HOLDER,10.52
541297,3,2010-12-20T10:13,15360,Italy,12110T,FOOD STORAGE CONTAINER,15.98
541299,3,2010-12-13T06:03,14381,Italy,64263X,FOOD STORAGE CONTAINER,18.67
541299,5,2010-12-02T20:57,13438,Italy,11138F,CREAM CUPID HEARTS COAT HANGER,20.87
541299,1,2011-02-03T17:33,11249,Italy,32222F,WOODEN TRAY,18.66
541302,10,2011-01-05T03:34,16104,Italy,56780U,WHITE HANGING HEART T-LIGHT HOLDER,18.17
541302,19,2011-01-13T08:38,14571,Italy,57947Z,FOOD STORAGE CONTAINER,13.63
541303,12,2010-12-27T01:08,12439,Italy,82171M,CREAM CUPID HEARTS COAT HANGER,15.98
541306,18,2010-12-16T21:35,15530,Italy,97415Q,WHITE METAL LANTERN,9.70
541308,2,2010-12-28T14:24,13455,Italy,47266R,GLASS JAR,3.35
541309,20,2010-12-08T04:46,19430,Italy,77434S,WHITE HANGING HEART T-LIGHT HOLDER,17.40
541310,10,2010-12-24T03:34,15965,Italy,91564Y,FRUIT & VEG STORAGE BASKET,9.12
541311,1,2011-01-18T16:47,10883,Italy,32160M,FRUIT & VEG STORAGE BASKET,9.59
541312,14,2011-01-28T08:50,17846,Italy,85566U,PLASTIC BOTTLE,12.14
541314,8,2011-01-01T06:27,15064,Italy,50501R,WHITE HANGING HEART T-LIGHT HOLDER,4.55
541315,2,2010-12-04T10:29,18197,Italy,28086H,FOOD STORAGE CONTAINER,11.92
541316,17,2011-01-20T18:19,17767,Italy,53045U,WOODEN TRAY,16.85
541316,2,2011-01-01T14:22,15732,Italy,73086L,WHITE METAL LANTERN,17.18
541321,4,2010-12-13T22:01,19328,Italy,84004J,GLASS JAR,2.93
541323,19,2011-01-02T18:57,18122,Italy,63501K,GLASS JAR,6.07
541324,8,2010-12-02T19:16,14837,Italy,87045M,PLASTIC BOTTLE,16.70
541324,4,2010-12-26T19:21,13003,Italy,38840J,WHITE METAL LANTERN,5.97
541325,3,2011-01-19T20:34,11839,Italy,65653C,GLASS JAR,23.27
541325,9,2010-12-08T00:37,15586,Italy,37344Q,FRUIT & VEG STORAGE BASKET,11.89
541330,14,2010-12-26T21:35,13763,Italy,85532Q,WHITE METAL LANTERN,22.23
541331,9,2011-01-14T15:35,12344,Italy,69149K,CREAM CUPID HEARTS COAT HANGER,12.05
541335,3,2011-01-03T04:19,19197,Italy,32165B,GLASS JAR,6.45
541338,13,2011-02-04T23:46,12266,Italy,14294B,PLASTIC BOTTLE,12.70
541338,2,2011-01-24T19:42,19754,Italy,34231P,GLASS JAR,22.00
541343,8,2011-02-03T09:24,11944,Italy,22534F,WHITE HANGING HEART T-LIGHT HOLDER,14.23
541344,6,2010-12-10T07:23,18204,Italy,95033C,WHITE HANGING HEART T-LIGHT HOLDER,23.62
541349,5,2011-01-16T19:46,17776,Italy,95064K,WHITE METAL LANTERN,10.36
541353,18,2010-12-29T00:50,19287,Italy,91147C,WHITE METAL LANTERN,20.73
541357,9,2010-12-27T13:12,11309,Italy,32733T,FRUIT & VEG STORAGE BASKET,17.30
541357,17,2010-12-14T07:01,13608,Italy,37197R,WOODEN TRAY,17.51
541358,16,2010-12-06T12:09,19365,Italy,24341K,WHITE HANGING HEART T-LIGHT HOLDER,13.21
541359,16,2011-01-18T10:13,10340,Italy,95078P,WOODEN TRAY,9.82
541360,1,2010-12-22T02:20,10426,Italy,95238E,CREAM CUPID HEARTS COAT HANGER,2.53
541362,16,2011-01-14T04:51,16618,Italy,44082K,FRUIT & VEG STORAGE BASKET,10.70
541362,12,2011-01-29T18:00,17952,Italy,64278Y,FOOD STORAGE CONTAINER,2.03
541364,4,2010-12-23T13:06,15229,Italy,89128D,CREAM CUPID HEARTS COAT HANGER,14.59
541365,2,2011-02-08T03:57,13506,Italy,78773Y,FRUIT & VEG STORAGE BASKET,9.78
541367,20,2010-12-01T08:06,14505,Italy,71772S,WHITE METAL LANTERN,2.96
541373,15,2011-02-04T02:51,17040,Italy,85137P,FOOD STORAGE CONTAINER,10.75
541374,8,2011-01-15T06:15,13758,Italy,95711V,CREAM CUPID HEARTS COAT HANGER,8.41
541375,12,2011-01-24T17:33,16666,Italy,87352K,FOOD STORAGE CONTAINER,2.52
541376,3,2011-01-10T23:18,11619,Italy,87987R,WHITE HANGING HEART T-LIGHT HOLDER,6.81
541377,7,2010-12-05T14:31,19124,Italy,47249C,WHITE HANGING HEART T-LIGHT HOLDER,14.42
